"x","y","p","dens"
6.75,0.0251666666666667,0,0
0.25,0.0275,0,0
0.75,0.0275,0,0
1.25,0.0275,0,0
1.75,0.0275,0.00162611875622919,1.39381607676787
2.25,0.0275,0.00203264844528648,1.74227009595984
2.75,0.0275,0.000813059378114594,0.696908038383937
3.25,0.0275,0.000813059378114594,0.696908038383937
3.75,0.0275,0.000406529689057297,0.348454019191969
4.25,0.0275,0.000813059378114594,0.696908038383937
4.75,0.0275,0,0
5.25,0.0275,0,0
5.75,0.0275,0,0
6.25,0.0275,0,0
6.75,0.0275,0,0
0.25,0.0298333333333333,0,0
0.75,0.0298333333333333,0,0
1.25,0.0298333333333333,0,0
1.75,0.0298333333333333,0.00162611875622919,1.39381607676787
2.25,0.0298333333333333,0.00325223751245837,2.78763215353575
2.75,0.0298333333333333,0.00162611875622919,1.39381607676787
3.25,0.0298333333333333,0.00162611875622919,1.39381607676787
3.75,0.0298333333333333,0.000813059378114594,0.696908038383937
4.25,0.0298333333333333,0.000813059378114594,0.696908038383937
4.75,0.0298333333333333,0,0
5.25,0.0298333333333333,0,0
5.75,0.0298333333333333,0,0
6.25,0.0298333333333333,0,0
6.75,0.0298333333333333,0,0
0.25,0.0321666666666667,0,0
0.75,0.0321666666666667,0,0
1.25,0.0321666666666667,0.000406529689057297,0.348454019191969
1.75,0.0321666666666667,0.00487835626868756,4.18144823030362
2.25,0.0321666666666667,0.00284570782340108,2.43917813434378
2.75,0.0321666666666667,0.00487835626868756,4.18144823030362
3.25,0.0321666666666667,0.00162611875622919,1.39381607676787
3.75,0.0321666666666667,0.000813059378114594,0.696908038383937
4.25,0.0321666666666667,0.00162611875622919,1.39381607676787
4.75,0.0321666666666667,0.000406529689057297,0.348454019191969
5.25,0.0321666666666667,0.000813059378114594,0.696908038383937
5.75,0.0321666666666667,0,0
6.25,0.0321666666666667,0,0
6.75,0.0321666666666667,0,0
0.25,0.0345,0,0
0.75,0.0345,0,0
1.25,0.0345,0.00162611875622919,1.39381607676787
1.75,0.0345,0.00325223751245837,2.78763215353575
2.25,0.0345,0.00203264844528648,1.74227009595984
2.75,0.0345,0.00365876720151567,3.13608617272772
3.25,0.0345,0.00121958906717189,1.04536205757591
3.75,0.0345,0.00162611875622919,1.39381607676787
4.25,0.0345,0.000813059378114594,0.696908038383937
4.75,0.0345,0.000813059378114594,0.696908038383937
5.25,0.0345,0.00121958906717189,1.04536205757591
5.75,0.0345,0,0
6.25,0.0345,0,0
6.75,0.0345,0,0
0.25,0.0368333333333333,0,0
0.75,0.0368333333333333,0,0
1.25,0.0368333333333333,0,0
1.75,0.0368333333333333,0.00284570782340108,2.43917813434378
2.25,0.0368333333333333,0.00365876720151567,3.13608617272772
2.75,0.0368333333333333,0.00609794533585945,5.22681028787953
3.25,0.0368333333333333,0.00203264844528648,1.74227009595984
3.75,0.0368333333333333,0.00325223751245837,2.78763215353575
4.25,0.0368333333333333,0.00121958906717189,1.04536205757591
4.75,0.0368333333333333,0.00121958906717189,1.04536205757591
5.25,0.0368333333333333,0.000813059378114594,0.696908038383937
5.75,0.0368333333333333,0,0
6.25,0.0368333333333333,0,0
6.75,0.0368333333333333,0.000406529689057297,0.348454019191969
0.25,0.0391666666666667,0,0
0.75,0.0391666666666667,0,0
1.25,0.0391666666666667,0.00162611875622919,1.39381607676787
1.75,0.0391666666666667,0.00609794533585945,5.22681028787953
2.25,0.0391666666666667,0.0101632422264324,8.71135047979921
2.75,0.0391666666666667,0.00528488595774486,4.52990224949559
3.25,0.0391666666666667,0.00365876720151567,3.13608617272772
3.75,0.0391666666666667,0.00243917813434378,2.09072411515181
4.25,0.0391666666666667,0.00121958906717189,1.04536205757591
4.75,0.0391666666666667,0.00203264844528648,1.74227009595984
5.25,0.0391666666666667,0.000406529689057297,0.348454019191969
5.75,0.0391666666666667,0.000813059378114594,0.696908038383937
6.25,0.0391666666666667,0.000813059378114594,0.696908038383937
6.75,0.0391666666666667,0.000406529689057297,0.348454019191969
0.25,0.0415,0,0
0.75,0.0415,0,0
1.25,0.0415,0.00162611875622919,1.39381607676787
1.75,0.0415,0.0105697719154897,9.05980449899118
2.25,0.0415,0.0130089500498335,11.150528614143
2.75,0.0415,0.00772406409208864,6.6206263646474
3.25,0.0415,0.00406529689057297,3.48454019191969
3.75,0.0415,0.00447182657963026,3.83299421111165
4.25,0.0415,0.00325223751245837,2.78763215353575
4.75,0.0415,0.00284570782340108,2.43917813434378
5.25,0.0415,0.00162611875622919,1.39381607676787
5.75,0.0415,0.00121958906717189,1.04536205757591
6.25,0.0415,0,0
6.75,0.0415,0.000813059378114594,0.696908038383937
