         1070383 function calls (1039921 primitive calls) in 7.628 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1944    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:863(get_text)
     1928    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
     1906    0.001    0.000    0.020    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:982(copy)
     1873    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
     1849    0.023    0.000    0.063    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1143(_update_props)
     1789    0.002    0.000    0.013    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
     1722    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     1708    0.002    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1271(set_xdata)
     1702    0.001    0.000    0.008    0.000 {method 'min' of 'numpy.ndarray' objects}
     1702    0.001    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:43(_amin)
     1682    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1808(get_affine)
     1680    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2692(kind)
     1632    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1297(get_usetex)
     1599    0.001    0.000    0.056    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1179(_internal_update)
     1550    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     1527    0.004    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1799(<dictcomp>)
     1527    0.008    0.000    0.013    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1760(normalize_kwargs)
     1511    0.001    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:731(__eq__)
     1506    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1095(sticky_edges)
     1504    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:211(vertices)
     1438    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1168(set_y)
     1421    0.005    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
     1416    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/figure.py:2677(_set_dpi)
     1392    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1345(<genexpr>)
     1360    0.004    0.000    0.044    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
     1352    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:253(convert_yunits)
     1338    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:241(convert_xunits)
     1312    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3241(_around_dispatcher)
     1311    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1361(_to_unmasked_float_array)
     1303    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:421(get_transform)
     1270    0.002    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:277(_recache)
     1264    0.002    0.000    0.057    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1190(set)
     1264    0.001    0.000    0.058    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:117(<lambda>)
     1259    0.004    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
     1257    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/__init__.py:154(<genexpr>)
1232/1070    0.004    0.000    0.018    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2441(get_affine)
     1232    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(dot)
     1232    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/multiarray.py:740(dot)
     1207    0.004    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
     1186    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1157(set_x)
     1185    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1758(<lambda>)
     1144    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2131(transform)
     1141    0.002    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1348(is_math_text)
     1127    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1111    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:209(<lambda>)
     1098    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/__init__.py:80(<genexpr>)
   1086/8    0.003    0.000    0.527    0.066 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:33(draw_wrapper)
     1058    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1868(_str_equal)
     1038    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/lib/function_base.py:346(iterable)
     1020    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2422(transform_non_affine)
     1014    0.001    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:328(ymax)
     1006    0.003    0.000    0.028    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1467(transform)
     1006    0.001    0.000    0.020    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2418(transform_affine)
     1003    0.002    0.000    0.019    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:809(from_extents)
     1003    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
     1003    0.001    0.000    0.009    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:198(reshape)
     1003    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(reshape)
      998    0.003    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:802(<dictcomp>)
  998/962    0.002    0.000    0.018    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:799(_unstale_viewLim)
      992    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2680(name)
      990    0.001    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:318(ymin)
      986    0.001    0.000    0.015    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:813(viewLim)
      984    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2259(get_affine)
      975    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1198(_set_markercolor)
      970    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2602(get_matrix)
      964    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/scale.py:115(get_transform)
      951    0.000    0.000    0.000    0.000 {built-in method math.radians}
      941    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      918    0.001    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:313(xmin)
      918    0.001    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:323(xmax)
      908    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:270(axes)
      883    0.000    0.000    0.000    0.000 {built-in method math.cos}
      883    0.000    0.000    0.000    0.000 {built-in method math.sin}
      881    0.001    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1335(__add__)
      881    0.001    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2508(composite_transform_factory)
      868    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:764(get_transform)
      864    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      862    0.001    0.000    0.017    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:800(from_bounds)
      837    0.003    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:190(__init__)
  824/584    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2381(_invalidate_internal)
      816    0.002    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1245(_preprocess_math)
      816    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1313(get_parse_math)
      816    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:250(get_rotation)
      816    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:258(get_transform_rotates_text)
  816/204    0.004    0.000    0.042    0.000 /usr/lib/python3.10/copy.py:227(_deepcopy_dict)
      815    0.003    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1983(rotate)
      815    0.001    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2006(rotate_deg)
      815    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      813    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:225(codes)
      810    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
  803/673    0.000    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/traitlets.py:692(__get__)
      794    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1350(_iter_break_from_left_to_right)
      788    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2688(get_matrix)
      784    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:262(fix_minus)
      780    0.001    0.000    0.016    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:2160(getter)
  779/649    0.001    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/traitlets.py:654(get)
      764    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1011(set_visible)
      759    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:542(<genexpr>)
      756    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:565(formatter)
      748    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:63(_scale_dashes)
      746    0.002    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:896(set_size)
      737    0.001    0.000    0.060    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:228(__init__)
      737    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:302(_set_fillstyle)
      737    0.003    0.000    0.056    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
      736    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:294(get_loc)
      736    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:310(set_label1)
      736    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:323(set_label2)
      736    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:531(_format_maybe_minus_and_locale)
      736    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:583(__call__)
      736    0.002    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2907(_interval_contains_close)
      735    0.006    0.000    0.011    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:150(__init__)
      731    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:707(set_figure)
      729    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:715(<lambda>)
      713    0.002    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2352(__init__)
      700    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:828(get_unitless_position)
      700    0.007    0.000    0.153    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:874(get_window_extent)
      700    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2183(_sum_dispatcher)
      700    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2188(sum)
      700    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(sum)
      683    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2427(_all_dispatcher)
      683    0.001    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2432(all)
      683    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(all)
      680    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:244(_get_multialignment)
      680    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:279(get_rotation_mode)
      680    0.023    0.000    0.114    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:298(_get_layout)
      680    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2219(<lambda>)
