"x","y","p","dens"
9.5,0.0403333333333333,3.62228614657636e-05,0.00776204174266362
10.5,0.0403333333333333,1.97874120987384e-06,0.000424015973544394
11.5,0.0403333333333333,0,0
12.5,0.0403333333333333,0,0
13.5,0.0403333333333333,0,0
14.5,0.0403333333333333,0,0
15.5,0.0403333333333333,0,0
16.5,0.0403333333333333,0,0
17.5,0.0403333333333333,0,0
18.5,0.0403333333333333,0,0
19.5,0.0403333333333333,0,0
20.5,0.0403333333333333,0,0
21.5,0.0403333333333333,0,0
22.5,0.0403333333333333,0,0
23.5,0.0403333333333333,0,0
24.5,0.0403333333333333,0,0
25.5,0.0403333333333333,0,0
26.5,0.0403333333333333,0,0
27.5,0.0403333333333333,0,0
28.5,0.0403333333333333,0,0
29.5,0.0403333333333333,0,0
7.5,0.045,0.000736068953908053,0.157729061551726
8.5,0.045,0.000182968846914755,0.0392076100531617
9.5,0.045,7.13803446531224e-05,0.0152957881399548
10.5,0.045,1.28998705797545e-05,0.00276425798137596
11.5,0.045,6.00947253866108e-06,0.00128774411542737
12.5,0.045,2.38519222513491e-06,0.000511112619671767
13.5,0.045,9.29663484813729e-07,0.000199213603888656
14.5,0.045,3.55572313589663e-07,7.61940671977849e-05
15.5,0.045,1.3335060487295e-07,2.85751296156322e-05
16.5,0.045,2.55010924786958e-08,5.46451981686339e-06
17.5,0.045,0,0
18.5,0.045,0,0
19.5,0.045,0,0
20.5,0.045,0,0
21.5,0.045,0,0
22.5,0.045,0,0
23.5,0.045,0,0
24.5,0.045,0,0
25.5,0.045,0,0
26.5,0.045,0,0
27.5,0.045,0,0
28.5,0.045,0,0
29.5,0.045,0,0
7.5,0.0496666666666667,0.00396687001110774,0.850043573808802
8.5,0.0496666666666667,0.0014418921562506,0.308976890625128
9.5,0.0496666666666667,0.00046881276329283,0.100459877848464
10.5,0.0496666666666667,0.000172264643405748,0.0369138521583745
11.5,0.0496666666666667,3.76475779627885e-05,0.00806733813488326
12.5,0.0496666666666667,8.58913210483365e-06,0.00184052830817864
13.5,0.0496666666666667,1.96037734841156e-06,0.000420080860373906
14.5,0.0496666666666667,5.62004321735068e-07,0.000120429497514657
